Data Dictionary (i.e. variable name, type, position, label) for 2002 Family-Respondent Data 

VARIABLE       COLUMN       TYPE        LABEL
KASHLP2A       1-8          Num         After welfare other help 1
UBLMRENT       9-16         Num         Blurred amount of monthly rent/mortgage
UBLMREN2       17-24        Num         Blurred amt of tot mnthly rent/mortgage
MAINRSLT       25-26        Char        First extended interview result code
TYPEINT        27-28        Char        Extended interview type
RESPID         29-38        Char        Respondent identification number
XOWNRENT       39-46        Char        Imputation flag for MOWNRENT
XMEDHMO        47-54        Char        Imputation flag for EMEDHMO
XMEDLST        55-62        Char        Imputation flag for EMEDLST
XLISTEN        63-64        Char        Imputation flag for BLISTEN
STATE          65-66        Char        State
SITE           67-68        Char        Site
UREGION        69           Char        Region
XOUTPOK2       70-77        Char        Imputation flag for FOUTPOK2
HHID           78-85        Char        Household identification number
BSATMED        86-88        Num         Satisfied with quality of medical care
BCONMED        89-91        Num         Confident can get medical care if needed
BLISTEN        92-94        Num         Doctor listened and explained
BNOWEL         95-97        Num         CHIP/Medicaid covers kids not on welfare
EMEDHMO        98-100       Num         Had Medicaid HMO
EMEDLST        101-103      Num         Must use Medicaid doctor list
EMEDPCD        104-106      Num         Must have Medicaid specific primary dr
EMEDREF        107-109      Num         Must have Medicaid referral
FNOMED         110-112      Num         Medical care postponed last year
FNODEN         113-115      Num         Dental care postponed last year
FNODRG         116-118      Num         Prescription drugs postponed last year
FOUTPOK2       119-121      Num         Estimated out-of-pocket health expenses
JANYPUB        122-124      Num         Anyone in social fam rcvd public asstnce
JAFDCF         125-127      Num         Anyone in social family received AFDC
JSAFDCF        128-130      Num         Anyone in social family rcvd state AFDC
JGAF           131-133      Num         Anyone in social fam rcvd gnrl asstnce
JLUMPSUM       134-136      Num         Was assistance one-time lump sum
JVOUCHEF       137-139      Num         Anyone in soc fam rcvd welfare vouchers
JFSTAMPF       140-142      Num         Anyone receive food stamps or ebt card
JCHILDF        143-145      Num         Anyone in social fam rcvd child support
JFOSTERF       146-148      Num         Anyone in soc fam rcvd foster care pymnt
JFRELF         149-151      Num         Anyone in soc fam rcvd fin asst frm rel
JUNEMPF        152-154      Num         Anyone in soc fam rcvd unemplymnt comp
JWCOMVEF       155-157      Num         Anyone in fam rcvd wrkrs comp/Vet pay
JWCOMP         158-160      Num         Anyone receive workers` compensation      
JWVETB         161-163      Num         Anyone receive veterans` benefits
JSUPSECF       164-166      Num         Anyone in soc fam rcvd Supp Secty Income
JSOCSECF       167-169      Num         Anyone in soc fam rcvd Social Security
JPENANNF       170-172      Num         Anyone in soc fam rcvd pension/annuity
JINTDIVF       173-175      Num         Anyone in soc fam rcvd interest/dividend
JRENTALF       176-178      Num         Anyone in social fam rcvd rental income
JOTHINCF       179-181      Num         Anyone in social fam rcvd other income
JAFDCA1        182-184      Num         TANF/AFDC for child, parent(s) or both
